name,Team,Points,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,FGM,FGA,FGpercent,EPM,EPA,team
Jason Sanders,MIA,163.0,368,312.0,30,27.2,14,5,31,32,8,22.0,91.0,5.7,16,23,30,76.7%,29,30,MIA
Younghoe Koo,ATL,159.0,242,241.4,9,11.0,11,3,14,7,21,26.0,81.0,10.1,8,23,26,88.5%,15,16,ATL
Daniel Carlson,LV,149.0,301,298.5,21,24.4,13,4,22,13,29,25.0,84.0,5.3,16,19,26,73.1%,34,36,LV
Greg Zuerlein,DAL,137.0,191,190.1,4,4.1,10,1,21,16,22,11.0,105.0,6.6,16,24,33,72.7%,42,42,LAR
Justin Tucker,BAL,137.0,177,174.8,2,1.8,10,1,26,20,31,3.0,140.0,8.8,16,28,29,96.6%,57,59,BAL
Harrison Butker,KC,131.0,174,172.4,1,1.5,10,1,20,12,23,1.0,143.0,8.9,16,34,38,89.5%,45,48,KC
Ryan Succop,TB,131.0,351,246.5,24,14.6,14,5,15,22,6,38.0,22.0,3.7,6,1,6,16.7%,24,25,TEN
Jason Myers,SEA,130.0,250,253.1,12,14.6,12,3,6,11,5,13.0,104.0,6.5,16,23,28,82.1%,40,44,SEA
Cairo Santos,CHI,129.0,500,500.0,43,35.8,0,6,32,32,32,39.0,19.0,3.8,5,4,9,44.4%,12,12,TEN
Joey Slye,CAR,128.0,267,269.6,17,19.0,12,4,3,9,7,17.0,99.0,6.2,16,25,32,78.1%,31,35,CAR
Brandon McManus,DEN,125.0,253,254.8,16,15.9,12,3,32,30,18,10.0,107.0,6.7,16,29,34,85.3%,25,26,DEN
Wil Lutz,NO,125.0,182,183.7,3,3.2,10,1,5,1,27,2.0,140.0,8.8,16,32,36,88.9%,48,49,NO
Nick Folk,NE,119.0,429,292.6,38,27.9,15,6,32,32,32,32.0,51.0,7.3,7,14,17,82.4%,12,12,NE
Stephen Gostkowski,TEN,119.0,310,254.2,23,20.0,13,4,16,10,24,35.0,31.0,7.8,4,7,8,87.5%,11,15,NE
Dustin Hopkins,WAS,118.0,308,305.9,22,26.2,13,4,25,27,14,20.0,91.0,5.7,16,25,30,83.3%,21,22,WAS
Mason Crosby,GB,115.0,239,244.7,13,14.9,11,3,13,18,13,12.0,104.0,6.5,16,22,24,91.7%,40,41,GB
Ka'imi Fairbairn,HOU,115.0,225,230.5,10,11.4,11,3,19,28,3,19.0,95.0,5.9,16,20,25,80.0%,40,45,HOU
Matt Prater,ARI,110.0,211,218.1,6,7.9,11,2,4,23,1,9.0,108.0,6.8,16,26,31,83.9%,35,36,DET
Robbie Gould,SF,106.0,203,206.5,5,6.1,11,2,2,2,17,14.0,102.0,7.8,13,23,31,74.2%,41,42,SF
Chris Boswell,PIT,100.0,257,259.2,14,14.9,12,3,28,25,26,8.0,113.0,7.1,16,29,31,93.5%,28,28,PIT
Dan Bailey,FA,83.0,241,244.6,11,13.1,11,3,7,6,20,5.0,119.0,7.4,16,27,29,93.1%,40,44,MIN
Jake Elliott,PHI,73.0,219,224.2,7,8.9,11,2,17,24,9,18.0,97.0,6.1,16,22,26,84.6%,35,37,PHI
