name,Team,Points,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Davante Adams,GB,341.8,7,9.2,2,2.2,2,1,15,17,16,29.0,127.7,10.6,12,127,83,997,5,0,0,0
Tyreek Hill,KC,328.9,11,12.7,4,4.0,2,1,29,16,30,27.0,130.3,10.9,12,89,58,860,7,8,23,0
Stefon Diggs,BUF,314.0,58,61.0,27,27.9,6,5,22,11,31,16.0,149.1,9.9,15,94,63,"1,130",6,5,61,0
DeAndre Hopkins,ARI,280.3,14,16.1,5,5.8,3,2,11,7,27,10.0,160.3,10.7,15,150,104,"1,165",7,2,18,0
Calvin Ridley,ATL,270.9,36,37.4,17,16.5,5,3,1,1,21,25.0,132.0,10.2,13,93,63,866,7,2,34,0
Allen Robinson,CHI,257.2,21,22.7,7,8.7,3,2,14,5,32,12.0,156.9,9.8,16,154,98,"1,147",7,1,2,0
Keenan Allen,LAC,245.1,46,45.9,22,20.8,5,4,18,20,15,11.0,157.5,9.8,16,149,104,"1,199",6,3,16,0
Adam Thielen,MIN,244.3,29,30.7,12,12.7,4,3,23,18,24,55.0,84.4,8.4,10,48,30,418,6,4,6,1
Mike Evans,TB,241.0,27,29.1,11,12.1,4,3,2,4,5,9.0,163.7,12.6,13,118,67,"1,157",8,0,0,0
Robert Woods,LAR,237.5,32,33.5,14,14.2,4,3,19,14,28,21.0,142.9,9.5,15,139,90,"1,134",2,17,115,1
Tyler Lockett,SEA,232.4,44,45.5,21,20.7,5,4,3,8,3,14.0,153.2,9.6,16,110,82,"1,057",8,4,-5,0
Amari Cooper,DAL,226.7,33,34.0,15,14.6,4,3,5,3,13,7.0,167.5,10.5,16,119,79,"1,189",8,1,6,0
Robby Anderson,CAR,217.2,144,147.5,59,58.1,9,7,4,2,14,38.0,108.3,6.8,16,96,52,779,5,1,4,0
JuJu Smith-Schuster,PIT,215.6,28,29.3,10,11.9,4,3,26,30,7,65.0,71.2,5.9,12,70,42,552,3,0,0,0
Diontae Johnson,PIT,209.2,86,88.5,38,39.1,7,5,26,30,7,45.0,100.1,6.3,16,92,59,680,5,4,41,0
Cooper Kupp,LAR,208.7,35,36.0,16,15.5,4,3,19,14,28,4.0,176.5,11.0,16,134,94,"1,161",10,2,4,0
Cole Beasley,BUF,207.5,190,196.7,74,72.4,10,7,22,11,31,36.0,113.8,7.6,15,106,67,778,6,0,0,0
Terry McLaurin,WAS,206.8,43,44.4,20,20.1,5,4,9,12,11,23.0,133.9,9.6,14,93,58,919,7,0,0,0
Curtis Samuel,WAS,193.0,145,148.6,61,58.2,9,7,4,2,14,34.0,117.7,7.4,16,105,54,627,6,19,130,1
